name,price,color,country,alcogol_percentage,type,brand,sugar,region,style,sort,classification
"Вино Виномоушн Рислинг Био / Vinomotion Riesling Bio, сухе 0.75л",224.00,,Германия,12.00,тихое,Vinomotion,сухе,Пфальц,легкое,рислинг,VdF
"Вино Сенси Орвьето / Sensi Orvieto, белое сухое 0.75л",229.00,белое,Италия,12.50,тихое,Sensi,сухое,умбрия,легкое,"канайоло, треббиано",DOC Orvieto
"Вино Латиниум Рислинг / Latinium Riesling, белое полусладкое 0.75л",234.00,белое,Германия,9.00,тихое,Latinium,полусладкое,Наэ,легкое,рислинг,
"Вино Ле Терас д'Ардеш Руж / Les Terrasses d’Ardeche Rouge, красное сухое 0.75л",239.00,красное,Франция,13.50,тихое,"Les Terrasses d'Ardeche, Uvica",сухое,Долина Роны,плотное,"мерло, сира/шираз",Ardeche IGP
"Вино Ле Терас д'Ардеш Блан / Les Terrasses d’Ardeche Blanc, белое сухое 0.75л",239.00,белое,Франция,13.00,тихое,"Les Terrasses d'Ardeche, Uvica",сухое,Долина Роны,легкое,"гренаш блан, совиньйон блан",Ardeche IGP
"Вино Мезон Кастель Каберне Совиньон / Maison Castel Cabernet Sauvignon, красное полусухое 0.75л",289.00,красное,Франция,13.00,тихое,Maison Castel,полусухое,Лангедок,легкое,каберне совиньйон,Pays d'Oc IGP
"Вино Гео Саперави / Geo Saperavi, красное сухое 0.75л",239.00,красное,Грузия,13.00,тихое,Geo,сухое,,плотное,саперави,
"Вино Мезон Кастель Совиньон Блан / Maison Castel Sauvignon Blanc, белое сухое 0.75л",289.00,белое,Франция,11.50,тихое,Maison Castel,сухое,Гасконь,легкое,совиньйон блан,Pays d'Oc IGP
"Вино Мезон Кастель Мерло / Maison Castel Merlot, красное полусухое 0.75л",289.00,красное,Франция,13.00,тихое,Maison Castel,полусухое,Лангедок,легкое,мерло,Pays d'Oc IGP
"Вино Сенси Кьянти / Sensi Chianti, красное сухое 0.75л",254.00,красное,Италия,12.50,тихое,Sensi,сухое,Тоскана,легкое,"бленд, санджовезе",Chianti DOCG
"Вино Кумала Кейп Классикс Ред / Kumala Cape Classics Red, красное сухое 0.75л",259.00,красное,ЮАР,12.50,тихое,"Accolade, Kumala",сухое,Вестерн Кейп,легкое,бленд,
"Вино Кумала Кейп Классикс Вайт / Kumala Cape Classics White, белое сухое 0.75л",259.00,белое,ЮАР,12.50,тихое,"Accolade, Kumala",сухое,Вестерн Кейп,легкое,бленд,
"Вино Фронтера Лейт Харвест / Frontera Late Harvest, белое сладкое 0.75л",259.00,белое,Чили,12.00,тихое,Frontera,сладкое,Центральна долина,плотное,москато,
"Вино Фронтера Шардоне / Frontera Chardonnay, белое полусухое 0.75л",259.00,белое,Чили,12.50,тихое,Frontera,полусухое,Центральна долина,легкое,шардоне,
"Вино Фронтера Карменер / Frontera Carmenere, красное полусухое 0.75л",259.00,красное,Чили,12.00,тихое,Frontera,полусухое,Центральна долина,плотное,карменер,
"Вино Фронтера Джейми Ред / Frontera Jammy Red, красное полусладкое 0.75л",259.00,красное,Чили,10.50,тихое,Frontera,полусладкое,Центральна долина,легкое,"каберне совиньйон, карменер, мальбек, мерло",
"Вино Хардис Стемп Каберне Мерло / Hardys Stamp Cabernet Merlot, красное сухое 0.75л",269.00,красное,Австралия,13.50,тихое,,сухое,Південно-Східна Австралія,легкое,"каберне совиньйон, мерло",
"Вино Финка лас Морас Торронтес / Finca Las Moras Torrontes, белое полусухое 0.75л",284.00,белое,Аргентина,12.50,тихое,Finca Las Moras,полусухое,Сан Хуан,легкое,торонтес,
"Вино Финка лас Морас Мальбек / Finca Las Moras Malbec, красное сухое 0.75л",284.00,красное,Аргентина,12.50,тихое,Finca Las Moras,сухое,Сан Хуан,плотное,мальбек,
"Вино Банрок Стейшн Мерло / Banrock Station Merlot, красное сухое 0.75л",284.00,красное,Австралия,13.50,тихое,"Accolade, Banrock Station",сухое,Південно-Східна Австралія,легкое,мерло,
"Вино Банрок Стейшн Шардоне / Banrock Station Chardonnay, белое сухое 0.75л",284.00,белое,Австралия,13.00,тихое,"Accolade, Banrock Station",сухое,Південно-Східна Австралія,плотное,шардоне,
